customerID,store_code,cluster
BBID_20482,2655,0
BBID_20485,2655,1
BBID_20498,2655,0
BBID_20499,2615,2
BBID_204110,2655,4
BBID_204129,2655,1
BBID_204149,2906,2
BBID_204178,2655,5
BBID_204186,3692,4
BBID_204232,4986,0
BBID_204242,2655,2
BBID_204277,4986,1
BBID_204295,4986,4
BBID_204322,4986,2
BBID_204334,4986,4
BBID_204354,4986,2
BBID_204354,4986,3
BBID_204360,2906,3
BBID_204395,4986,1
BBID_204439,2655,4
BBID_204446,2655,5
BBID_204451,4986,3
BBID_204455,4986,0
BBID_204461,2906,1
BBID_204603,2655,4
BBID_204609,2655,5
BBID_204610,2655,1
BBID_204620,2655,5
BBID_204707,2906,4
BBID_204710,2906,4
BBID_204712,2906,1
BBID_204717,2906,5
BBID_204717,2906,4
BBID_204735,2906,5
BBID_204741,2906,3
BBID_204755,2655,3
BBID_204765,2906,2
BBID_204859,2655,0
BBID_204891,2655,4
BBID_204891,2655,5
BBID_204900,2906,2
BBID_204910,2655,2
BBID_204951,2655,3
BBID_204957,2906,4
BBID_204964,2655,1
BBID_204971,2655,2
BBID_204975,2906,4
BBID_204984,2655,3
BBID_2041004,2655,0
BBID_2041004,2906,4
BBID_2041010,2906,0
BBID_2041049,2906,5
BBID_2041050,2655,2
BBID_2041069,2655,2
BBID_2041082,2906,4
BBID_2041113,2906,4
BBID_2041165,2906,2
BBID_2041210,2655,4
BBID_2041210,2655,0
BBID_2041210,2655,5
BBID_2041210,2655,0
BBID_2041210,2655,2
BBID_2041215,2655,3
BBID_2041224,2655,5
BBID_2041232,2655,1
BBID_2041248,2655,4
BBID_2041254,2655,0
BBID_2041254,2655,4
BBID_2041291,2655,5
BBID_2041303,2655,2
BBID_2041312,2655,2
BBID_2041341,2906,5
BBID_2041341,2906,3
BBID_2041352,2906,4
BBID_2041364,2655,1
BBID_2041376,2655,0
BBID_2041378,2655,0
BBID_2041398,2655,1
BBID_2041400,2655,2
BBID_2041404,2655,3
BBID_2041442,2655,5
BBID_2041445,2655,0
BBID_2041463,2906,0
BBID_2041468,2906,4
BBID_2041478,2655,4
BBID_2041486,2655,3
BBID_2041531,2655,0
BBID_2041537,2655,1
BBID_2041543,2655,2
BBID_2041546,2655,0
BBID_2041548,2655,2
BBID_2041557,2906,0
BBID_2041567,2906,5
BBID_2041575,2906,3
BBID_2041578,2906,0
BBID_2041578,2655,5
BBID_2041582,2655,4
BBID_2041583,2655,1
BBID_2041586,2906,5
BBID_2041610,2655,0
BBID_2041663,2906,0
BBID_2041665,2906,2
BBID_2041667,2655,0
BBID_2041676,2655,4
BBID_2041680,2906,3
BBID_2041684,2655,0
BBID_2041686,2655,2
BBID_2041701,2906,0
BBID_2041716,2655,0
BBID_2041735,2906,5
BBID_2041740,2655,2
BBID_2041749,2906,2
BBID_2041797,2655,0
BBID_2041801,2655,5
BBID_2041805,2655,4
BBID_2041811,2655,4
BBID_2041817,2655,2
BBID_2041835,2655,0
BBID_2041873,2655,5
BBID_2041918,2655,2
BBID_2041942,2906,1
BBID_2041951,2655,4
BBID_2041951,2655,2
BBID_2041967,2655,3
BBID_2041988,2655,3
BBID_2042009,2655,1
BBID_2042009,2655,4
BBID_2042072,2655,5
BBID_2042090,2906,4
BBID_2042090,2655,5
BBID_2042092,2906,1
BBID_2042100,2906,2
BBID_2042105,2655,3
BBID_2042112,2655,1
BBID_2042147,2655,1
BBID_2042156,2655,2
BBID_2042156,2655,4
BBID_2042156,2655,4
BBID_2042160,2615,4
BBID_2042162,2655,2
BBID_2042197,2655,4
BBID_2042213,2655,2
BBID_2042218,2655,4
BBID_2042220,2655,2
BBID_2042239,2655,0
BBID_2042283,4986,0
BBID_2042283,4986,5
BBID_2042340,4986,0
BBID_2042349,4986,0
BBID_2042363,4986,5
BBID_2042373,3692,5
BBID_2042395,2906,2
BBID_2042403,2655,4
BBID_2042406,4986,3
BBID_2042418,4986,5
BBID_2042440,2615,2
BBID_2042441,2615,2
BBID_2042443,2655,0
BBID_2042450,2655,3
BBID_2042464,3692,5
BBID_2042564,4986,0
BBID_2042570,2906,3
BBID_2042575,2655,5
BBID_2042578,2906,2
BBID_2042598,2655,3
BBID_2042601,2655,4
BBID_2042605,3692,2
BBID_2042640,3692,5
BBID_2042727,2655,0
BBID_2042727,2655,5
BBID_2042764,3692,3
BBID_2042768,2906,4
BBID_2042806,2906,4
BBID_2042814,2655,2
BBID_2042864,2615,1
BBID_2042874,2655,4
BBID_2042907,2615,3
BBID_2042965,2655,2
BBID_2042971,2655,2
BBID_2042972,2655,1
BBID_2043012,2906,5
BBID_2043027,2906,1
BBID_2043032,2655,0
BBID_2043050,2655,1
BBID_2043057,2655,4
BBID_2043082,2655,1
BBID_2043082,2655,1
BBID_2043102,2906,4
BBID_2043115,2655,3
BBID_2043139,2655,0
BBID_2043139,2655,1
BBID_2043157,3692,5
BBID_2043223,4986,2
BBID_2043223,4986,4
BBID_2043278,2655,4
BBID_2043300,2906,2
BBID_2043310,2655,4
BBID_2043326,4986,5
BBID_2043330,2655,4
BBID_2043333,2655,2
BBID_2043334,2906,1
BBID_2043354,2906,0
BBID_2043355,2655,2
BBID_2043357,2655,2
BBID_2043357,2655,4
BBID_2043398,2906,0
BBID_2043403,2655,5
BBID_2043403,2655,1
BBID_2043403,2655,5
BBID_2043403,2655,1
BBID_2043430,2655,0
BBID_2043450,2906,3
BBID_2043459,2906,3
BBID_2043463,2655,1
BBID_2043469,2906,2
BBID_2043472,2655,0
BBID_2043489,2655,3
BBID_2043514,2906,1
BBID_2043557,2655,3
BBID_2043577,2655,3
BBID_2043600,2906,5
BBID_2043611,2906,2
BBID_2043635,2655,4
BBID_2043640,2906,4
BBID_2043667,2655,4
BBID_2043667,2906,3
BBID_2043683,2655,3
BBID_2043684,2655,1
BBID_2043690,2655,5
BBID_2043690,2655,5
BBID_2043745,2655,2
BBID_2043763,2655,4
BBID_2043778,2906,0
BBID_2043831,2655,4
BBID_2043833,2655,0
BBID_2043833,2655,0
BBID_2043839,2906,2
BBID_2043894,2655,5
BBID_2043901,2655,4
BBID_2043907,2655,1
BBID_2043907,2655,0
BBID_2043925,2655,4
BBID_2043959,2655,1
BBID_2043965,2906,4
BBID_2043993,4986,2
BBID_2044007,4986,4
BBID_2044012,4986,1
BBID_2044081,2655,0
BBID_2044107,2655,4
BBID_2044108,2655,0
BBID_2044112,2655,2
BBID_2044146,2655,3
BBID_2044148,2906,2
BBID_2044186,2655,0
BBID_2044205,2906,4
BBID_2044217,2655,4
BBID_2044224,2655,5
BBID_2044224,2655,1
BBID_2044271,2655,4
BBID_2044300,2655,4
BBID_2044355,2655,4
BBID_2044362,2655,4
BBID_2044370,2655,0
BBID_2044374,2655,3
BBID_2044377,2906,5
BBID_2044400,2906,5
BBID_2044404,2615,1
BBID_2044411,2906,4
BBID_2044418,2655,3
BBID_2044452,2655,0
BBID_2044486,2906,0
BBID_2044501,3692,4
BBID_2044507,2655,2
BBID_2044513,2655,4
BBID_2044515,2906,5
BBID_2044551,2906,4
BBID_2044582,2906,2
BBID_2044598,2906,0
BBID_2044606,4986,4
BBID_2044622,2655,3
BBID_2044637,2655,3
BBID_2044659,2655,0
BBID_2044667,2655,0
BBID_2044696,2655,1
BBID_2044702,2906,3
BBID_2044751,2906,1
BBID_2044751,2906,2
BBID_2044774,2655,5
BBID_2044774,2655,3
BBID_2044781,2615,3
BBID_2044791,2655,5
BBID_2044796,3692,1
BBID_2044796,3692,5
BBID_2044801,3692,0
BBID_2044811,2906,1
BBID_2044811,2655,0
BBID_2044838,2655,3
BBID_2044844,2655,3
BBID_2044853,2655,1
BBID_2044860,2655,4
BBID_2044910,2906,0
BBID_2044943,2906,4
BBID_2044947,2655,2
BBID_2044947,2655,0
BBID_2044947,2655,1
BBID_2044951,2655,0
BBID_2044951,2655,2
BBID_2044951,2655,0
BBID_2044965,2655,4
BBID_2044995,2906,3
BBID_2045005,2615,1
BBID_2045041,2655,5
BBID_2045155,3692,2
BBID_2045181,3692,3
BBID_2045217,2906,0
BBID_2045238,2655,5
BBID_2045240,2906,2
BBID_2045244,2655,2
BBID_2045263,2655,3
BBID_2045267,2906,4
BBID_2045292,3692,0
BBID_2045292,3692,2
BBID_2045356,2655,5
BBID_2045376,3692,5
BBID_2045392,3692,0
BBID_2045419,4986,3
BBID_2045421,2655,4
BBID_2045480,2655,0
BBID_2045549,4986,3
BBID_2045618,2906,0
BBID_2045629,2615,1
BBID_2045631,2655,1
BBID_2045644,3692,4
BBID_2045683,2655,4
BBID_2045685,4986,1
BBID_2045760,2655,0
BBID_2045760,2655,0
BBID_2045773,2906,0
BBID_2045778,2655,4
BBID_2045796,2906,0
BBID_2045817,2655,1
BBID_2045824,2906,1
BBID_2045824,2655,1
BBID_2045836,2655,2
BBID_2045884,2906,4
BBID_2045906,2655,3
BBID_2045909,2906,5
BBID_2045914,2906,1
BBID_2045915,2655,4
BBID_2045950,2906,2
BBID_2045955,2655,1
BBID_2045963,2906,2
BBID_2046000,2655,4
BBID_2046054,2655,0
BBID_2046062,2655,5
BBID_2046065,2655,3
BBID_2046069,2655,4
BBID_2046081,2655,0
BBID_2046086,2906,4
BBID_2046087,2906,4
BBID_2046091,2655,2
BBID_2046108,2655,2
BBID_2046110,2655,3
BBID_2046114,2655,1
BBID_2046150,2655,4
BBID_2046157,2655,2
BBID_2046217,2655,2
BBID_2046221,2655,1
BBID_2046225,2906,4
BBID_2046238,2906,3
BBID_2046257,2655,0
BBID_2046297,2906,5
BBID_2046308,2655,0
BBID_2046321,2906,2
BBID_2046339,2906,2
BBID_2046390,2655,4
BBID_2046390,2655,5
BBID_2046390,2655,4
BBID_2046391,2655,2
BBID_2046391,2655,2
BBID_2046414,2906,0
BBID_2046414,2906,3
BBID_2046427,2655,4
BBID_2046427,2655,1
BBID_2046472,2655,3
BBID_2046533,2655,0
BBID_2046533,2655,4
BBID_2046540,2655,1
BBID_2046585,2906,1
BBID_2046598,2906,4
BBID_2046600,2906,0
BBID_2046611,2655,5
BBID_2046649,2906,1
BBID_2046651,2906,0
BBID_2046660,2655,5
BBID_2046672,2906,2
BBID_2046700,2655,5
BBID_2046738,2906,2
BBID_2046777,2655,4
BBID_2046836,2655,3
BBID_2046848,2655,5
BBID_2046879,2655,4
BBID_2046954,2655,5
BBID_2046974,2655,0
BBID_2046980,2655,3
BBID_2046980,2655,5
BBID_2046982,2655,3
BBID_2047008,2655,2
BBID_2047010,2655,4
BBID_2047018,2655,2
BBID_2047074,4986,3
BBID_2047079,2655,5
BBID_2047079,2655,4
BBID_2047079,2655,4
BBID_2047082,4986,1
BBID_2047104,4986,4
BBID_2047104,4986,2
BBID_2047148,2655,1
BBID_2047148,2655,1
BBID_2047252,4986,5
BBID_2047252,4986,0
BBID_2047290,2655,2
BBID_2047328,2655,0
BBID_2047345,2906,5
BBID_2047370,2655,1
BBID_2047389,2906,4
BBID_2047396,2906,3
BBID_2047398,2655,5
BBID_2047445,2906,2
BBID_2047448,2906,4
BBID_2047448,2906,1
BBID_2047461,2655,4
BBID_2047461,2655,0
BBID_2047472,2906,4
BBID_2047477,2655,2
BBID_2047499,2655,4
BBID_2047535,2655,4
BBID_2047537,2906,1
BBID_2047552,2655,4
BBID_2047554,2655,5
BBID_2047554,2655,0
BBID_2047560,2655,3
BBID_2047566,2906,3
BBID_2047575,2906,0
BBID_2047681,2906,1
BBID_2047692,2655,2
BBID_2047692,2655,3
BBID_2047708,2906,4
BBID_2047717,2906,1
BBID_2047750,2655,0
BBID_2047761,2655,1
BBID_2047771,2655,5
BBID_2047784,2655,2
BBID_2047785,2655,4
BBID_2047785,2655,4
BBID_2047798,2655,4
BBID_2047802,2906,1
BBID_2047821,2655,4
BBID_2047841,2655,2
BBID_2047858,2655,3
BBID_2047858,2655,4
BBID_2047861,2906,1
BBID_2047906,2906,5
BBID_2047916,2655,3
BBID_2047929,2655,0
BBID_2047931,2655,4
BBID_2047942,2906,5
BBID_2047945,2906,2
BBID_2047948,2906,5
BBID_2047949,2655,5
BBID_2047996,2655,2
BBID_2047996,2655,2
BBID_2048015,2906,2
BBID_2048017,2655,2
BBID_2048026,2906,5
BBID_2048078,2655,5
BBID_2048093,2906,5
BBID_2048094,2906,2
BBID_2048094,2655,0
BBID_2048101,2655,0
BBID_2048102,2906,4
BBID_2048131,2655,3
BBID_2048147,2655,5
BBID_2048147,2655,1
BBID_2048175,2655,4
BBID_2048176,2655,5
BBID_2048178,2906,5
BBID_2048232,4986,0
BBID_2048289,4986,4
BBID_2048300,2655,3
BBID_2048312,2655,1
BBID_2048334,4986,2
BBID_2048338,2906,5
BBID_2048362,2906,5
BBID_2048395,3692,1
BBID_2048395,3692,2
BBID_2048407,4986,2
BBID_2048407,4986,4
BBID_2048413,4986,4
BBID_2048414,4986,0
BBID_2048418,4986,4
BBID_2048418,4986,4
BBID_2048441,3692,4
BBID_2048441,3692,4
BBID_2048495,2906,3
BBID_2048529,2655,3
BBID_2048532,2906,3
BBID_2048581,2655,4
BBID_2048604,2655,1
BBID_2048605,2655,5
BBID_2048642,2655,1
BBID_2048646,2906,2
BBID_2048694,2655,4
BBID_2048704,2655,4
BBID_2048704,2655,3
BBID_2048704,2655,0
BBID_2048752,2655,0
BBID_2048770,2655,2
BBID_2048780,2906,1
BBID_2048808,2906,5
BBID_2048836,2655,3
BBID_2048836,2655,3
BBID_2048865,2655,4
BBID_2048892,2906,4
BBID_2048938,2655,1
BBID_2048944,2655,5
BBID_2048965,2655,4
BBID_2049005,2906,4
BBID_2049019,2655,5
BBID_2049033,2655,5
BBID_2049082,2655,1
BBID_2049103,2655,2
BBID_2049124,2655,0
BBID_2049142,2906,1
BBID_2049170,2655,5
BBID_2049176,2906,1
BBID_2049185,2906,5
BBID_2049250,2655,4
BBID_2049278,2655,5
BBID_2049280,2655,5
